row_index	anonymous_id	image_path	image	variant	paired_anonymous_id	b3_paired_anonymous_id	pair_id	label	slide_id	x	y	patch_level	patch_size	question
0	000000	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000000.jpg	roi_000000.jpg	perturbed	000024	none	tissue_pair_000011	tissue	PIT_01_09174_01	31778	16528	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
1	000001	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000001.jpg	roi_000001.jpg	original	none	000007	background_000000	background	PIT_01_00763_01	12288	2049	2	256	Is this ROI informative for histological image analysis? Answer briefly.
2	000002	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000002.jpg	roi_000002.jpg	perturbed	000010	none	tissue_pair_000003	tissue	PIT_01_00763_01	8248	5512	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
3	000003	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000003.jpg	roi_000003.jpg	original	none	000014	background_000007	background	PIT_01_03534_01	20485	20490	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
4	000004	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000004.jpg	roi_000004.jpg	original	none	000032	background_000009	background	PIT_01_09174_01	53248	12288	2	256	What is the dominant content in this ROI? Answer briefly.
5	000005	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000005.jpg	roi_000005.jpg	original	none	000008	background_000003	background	PIT_01_00763_01	22528	8196	2	256	Is this ROI informative for histological image analysis? Answer briefly.
6	000006	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000006.jpg	roi_000006.jpg	perturbed	000009	none	tissue_pair_000001	tissue	PIT_01_00763_01	10296	5512	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
7	000007	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000007.jpg	roi_000007.jpg	original	000033	000001	tissue_pair_000004	tissue	PIT_01_03534_01	38679	14359	2	256	Is this ROI informative for histological image analysis? Answer briefly.
8	000008	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000008.jpg	roi_000008.jpg	original	000019	000005	tissue_pair_000000	tissue	PIT_01_00763_01	9288	14899	2	256	Is this ROI informative for histological image analysis? Answer briefly.
9	000009	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000009.jpg	roi_000009.jpg	original	000006	000022	tissue_pair_000001	tissue	PIT_01_00763_01	10296	5512	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
10	000010	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000010.jpg	roi_000010.jpg	original	000002	000027	tissue_pair_000003	tissue	PIT_01_00763_01	8248	5512	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
